Datetime,plotName,zl6Serial,PortNum,Depth,Saturation Extract EC mS/cm,Soil Temperature oC,Water Content m^3/m^3
2019/04/25 00:00,PIAB-W,z6-01157,P1,10,0.013,10.1,0.428
2019/04/25 00:30,PIAB-W,z6-01157,P1,10,0.013,10.1,0.428
2019/04/25 01:00,PIAB-W,z6-01157,P1,10,0.013,10.1,0.428
2019/04/25 01:30,PIAB-W,z6-01157,P1,10,0.013,10,0.428
2019/04/25 02:00,PIAB-W,z6-01157,P1,10,0.012,10,0.428
2019/04/25 02:30,PIAB-W,z6-01157,P1,10,0.013,10,0.428
2019/04/25 03:00,PIAB-W,z6-01157,P1,10,0.013,9.9,0.428
2019/04/25 03:30,PIAB-W,z6-01157,P1,10,0.012,9.9,0.428
2019/04/25 04:00,PIAB-W,z6-01157,P1,10,0.013,9.8,0.428
2019/04/25 04:30,PIAB-W,z6-01157,P1,10,0.013,9.8,0.428
2019/04/25 05:00,PIAB-W,z6-01157,P1,10,0.013,9.7,0.428
2019/04/25 05:30,PIAB-W,z6-01157,P1,10,0.012,9.6,0.428
2019/04/25 06:00,PIAB-W,z6-01157,P1,10,0.013,9.6,0.428
2019/04/25 06:30,PIAB-W,z6-01157,P1,10,0.012,9.5,0.428
2019/04/25 07:00,PIAB-W,z6-01157,P1,10,0.013,9.4,0.428
2019/04/25 07:30,PIAB-W,z6-01157,P1,10,0.013,9.3,0.428
2019/04/25 08:00,PIAB-W,z6-01157,P1,10,0.013,9.3,0.428
2019/04/25 08:30,PIAB-W,z6-01157,P1,10,0.013,9.2,0.428
2019/04/25 09:00,PIAB-W,z6-01157,P1,10,0.013,9.2,0.428
2019/04/25 09:30,PIAB-W,z6-01157,P1,10,0.013,9.2,0.429
2019/04/25 10:00,PIAB-W,z6-01157,P1,10,0.013,9.3,0.428
2019/04/25 10:30,PIAB-W,z6-01157,P1,10,0.013,9.4,0.428
2019/04/25 11:00,PIAB-W,z6-01157,P1,10,0.013,9.5,0.428
2019/04/25 11:30,PIAB-W,z6-01157,P1,10,0.013,9.6,0.428
2019/04/25 12:00,PIAB-W,z6-01157,P1,10,0.013,9.7,0.428
2019/04/25 12:30,PIAB-W,z6-01157,P1,10,0.013,9.8,0.428
2019/04/25 13:00,PIAB-W,z6-01157,P1,10,0.013,10,0.427
2019/04/25 13:30,PIAB-W,z6-01157,P1,10,0.013,10.1,0.427
2019/04/25 14:00,PIAB-W,z6-01157,P1,10,0.013,10.3,0.427
2019/04/25 14:30,PIAB-W,z6-01157,P1,10,0.013,10.5,0.427
2019/04/25 15:00,PIAB-W,z6-01157,P1,10,0.013,10.6,0.427
2019/04/25 15:30,PIAB-W,z6-01157,P1,10,0.012,10.8,0.427
2019/04/25 16:00,PIAB-W,z6-01157,P1,10,0.013,10.9,0.426
2019/04/25 16:30,PIAB-W,z6-01157,P1,10,0.013,11,0.426
2019/04/25 17:00,PIAB-W,z6-01157,P1,10,0.013,11,0.426
2019/04/25 17:30,PIAB-W,z6-01157,P1,10,0.013,11.1,0.426
2019/04/25 18:00,PIAB-W,z6-01157,P1,10,0.013,11.1,0.426
2019/04/25 18:30,PIAB-W,z6-01157,P1,10,0.013,11.1,0.425
2019/04/25 19:00,PIAB-W,z6-01157,P1,10,0.013,11.1,0.425
2019/04/25 19:30,PIAB-W,z6-01157,P1,10,0.012,11.1,0.425
2019/04/25 20:00,PIAB-W,z6-01157,P1,10,0.012,11.1,0.425
2019/04/25 20:30,PIAB-W,z6-01157,P1,10,0.012,11.1,0.425
2019/04/25 21:00,PIAB-W,z6-01157,P1,10,0.012,11.1,0.425
2019/04/25 21:30,PIAB-W,z6-01157,P1,10,0.012,11.1,0.425
2019/04/25 22:00,PIAB-W,z6-01157,P1,10,0.012,11,0.425
2019/04/25 22:30,PIAB-W,z6-01157,P1,10,0.012,11,0.425
2019/04/25 23:00,PIAB-W,z6-01157,P1,10,0.012,11,0.425
2019/04/25 23:30,PIAB-W,z6-01157,P1,10,0.013,10.9,0.425
2019/04/26 00:00,PIAB-W,z6-01157,P1,10,0.012,10.9,0.425
2019/04/26 00:30,PIAB-W,z6-01157,P1,10,0.012,10.9,0.425
2019/04/26 01:00,PIAB-W,z6-01157,P1,10,0.012,10.9,0.425
2019/04/26 01:30,PIAB-W,z6-01157,P1,10,0.012,10.8,0.425
2019/04/26 02:00,PIAB-W,z6-01157,P1,10,0.012,10.8,0.425
2019/04/26 02:30,PIAB-W,z6-01157,P1,10,0.012,10.7,0.425
2019/04/26 03:00,PIAB-W,z6-01157,P1,10,0.012,10.7,0.425
2019/04/26 03:30,PIAB-W,z6-01157,P1,10,0.012,10.6,0.425
2019/04/26 04:00,PIAB-W,z6-01157,P1,10,0.012,10.6,0.426
2019/04/26 04:30,PIAB-W,z6-01157,P1,10,0.012,10.5,0.426
2019/04/26 05:00,PIAB-W,z6-01157,P1,10,0.012,10.5,0.426
2019/04/26 05:30,PIAB-W,z6-01157,P1,10,0.013,10.4,0.426
2019/04/26 06:00,PIAB-W,z6-01157,P1,10,0.012,10.4,0.426
2019/04/26 06:30,PIAB-W,z6-01157,P1,10,0.012,10.3,0.426
2019/04/26 07:00,PIAB-W,z6-01157,P1,10,0.012,10.3,0.426
2019/04/26 07:30,PIAB-W,z6-01157,P1,10,0.012,10.2,0.426
2019/04/26 08:00,PIAB-W,z6-01157,P1,10,0.013,10.1,0.426
2019/04/26 08:30,PIAB-W,z6-01157,P1,10,0.012,10.1,0.426
2019/04/26 09:00,PIAB-W,z6-01157,P1,10,0.012,10.1,0.426
2019/04/26 09:30,PIAB-W,z6-01157,P1,10,0.013,10,0.426
2019/04/26 10:00,PIAB-W,z6-01157,P1,10,0.013,10,0.426
2019/04/26 10:30,PIAB-W,z6-01157,P1,10,0.012,10,0.426
2019/04/26 11:00,PIAB-W,z6-01157,P1,10,0.012,10,0.426
2019/04/26 11:30,PIAB-W,z6-01157,P1,10,0.012,10,0.426
2019/04/26 12:00,PIAB-W,z6-01157,P1,10,0.012,10,0.426
2019/04/26 12:30,PIAB-W,z6-01157,P1,10,0.012,10,0.426
