Date,Time,Chan1 (mm ),Chan1 (mV),Internal Battery Voltage (V),Internal Battery Temperature (�C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
25/10/2019,14:10:13,956.247,582.578,4.09,6.5,not present ,0,0,
25/10/2019,14:20:13,956.246,582.533,4.09,6.3,not present ,0,0,
25/10/2019,14:30:12,956.242,582.388,4.09,6.1,not present ,0,0,
25/10/2019,14:40:12,956.24,582.304,4.09,5.9,not present ,0,0,
25/10/2019,14:50:12,956.239,582.265,4.09,5.6,not present ,0,0,
25/10/2019,15:00:13,956.238,582.237,4.09,5.9,not present ,0,0,
25/10/2019,15:10:13,956.239,582.278,4.08,6.1,not present ,0,0,
25/10/2019,15:20:13,956.239,582.263,4.08,6.1,not present ,0,0,
25/10/2019,15:30:13,956.238,582.226,4.08,6.1,not present ,0,0,
25/10/2019,15:40:13,956.237,582.195,4.08,6,not present ,0,0,
25/10/2019,15:50:13,956.237,582.187,4.08,6.1,not present ,0,0,
25/10/2019,16:00:13,956.234,582.07,4.08,5.6,not present ,0,0,
25/10/2019,16:10:13,956.232,581.992,4.08,5,not present ,0,0,
25/10/2019,16:20:13,956.229,581.875,4.08,4.69,not present ,0,0,
25/10/2019,16:30:13,956.228,581.83,4.08,4.3,not present ,0,0,
25/10/2019,16:40:13,956.227,581.786,4.08,4.1,not present ,0,0,
25/10/2019,16:50:12,956.226,581.731,4.08,3.9,not present ,0,0,
25/10/2019,17:00:12,956.224,581.679,4.07,3.7,not present ,0,0,
25/10/2019,17:10:12,956.223,581.617,4.07,3.5,not present ,0,0,
25/10/2019,17:20:12,956.221,581.541,4.07,3.1,not present ,0,0,
25/10/2019,17:30:13,956.219,581.489,4.07,2.9,not present ,0,0,
25/10/2019,17:40:13,956.214,581.289,4.07,2.4,not present ,0,0,
25/10/2019,17:50:13,956.169,579.492,4.07,1.9,not present ,0,0,
25/10/2019,18:00:13,956.165,579.362,4.07,1.5,not present ,0,0,
25/10/2019,18:10:13,956.163,579.257,4.06,0.1,not present ,0,0,
25/10/2019,18:20:13,956.161,579.179,4.08,3.3,present ,12.88,82.8,
25/10/2019,18:30:13,956.16,579.14,4.09,4.6,present ,12.85,83.4,
25/10/2019,18:40:13,956.157,579.023,4.1,4.9,present ,12.85,83.1,
25/10/2019,18:50:13,956.155,578.937,4.1,5,present ,12.81,83.4,
25/10/2019,19:00:13,956.152,578.828,4.11,4.9,present ,12.82,84,
25/10/2019,19:10:13,956.151,578.783,4.12,4.8,present ,12.78,84,
25/10/2019,19:20:13,956.149,578.71,4.13,4.69,present ,12.78,84.3,
25/10/2019,19:30:12,956.148,578.669,4.14,4.5,present ,12.75,84,
25/10/2019,19:40:12,956.148,578.671,4.15,4.4,present ,12.75,84.3,
25/10/2019,19:50:13,956.148,578.671,4.17,4.69,present ,12.74,119.7,
25/10/2019,20:00:13,956.148,578.671,4.17,4.4,present ,12.76,117.9,
25/10/2019,20:10:12,956.148,578.669,4.17,3.1,present ,12.73,117.6,
25/10/2019,20:20:13,956.147,578.64,4.17,2.4,present ,12.73,117.6,
25/10/2019,20:30:13,956.146,578.617,4.17,1.7,present ,12.73,117.6,
25/10/2019,20:40:13,956.146,578.593,4.17,1.2,present ,12.72,117,
25/10/2019,20:50:13,956.145,578.554,4.17,0.1,present ,12.68,117,
25/10/2019,21:00:13,956.145,578.554,4.17,0.1,present ,12.72,117,
25/10/2019,21:10:13,956.144,578.52,4.17,0,present ,12.69,117.6,
25/10/2019,21:20:13,956.144,578.515,4.17,0,present ,12.69,117.6,
25/10/2019,21:30:13,956.143,578.476,4.19,-0.2,present ,12.72,117,
25/10/2019,21:40:13,956.142,578.437,4.19,-0.7,present ,12.72,117,
25/10/2019,21:50:13,956.142,578.437,4.17,-0.7,present ,12.69,117.6,
25/10/2019,22:00:12,956.142,578.429,4.17,-0.9,present ,12.69,117.6,
25/10/2019,22:10:12,956.142,578.437,4.17,-0.9,present ,12.69,117.6,
25/10/2019,22:20:12,956.142,578.437,4.17,-0.9,present ,12.66,117.9,
25/10/2019,22:30:12,956.142,578.437,4.17,-0.8,present ,12.69,117.9,
25/10/2019,22:40:12,956.142,578.437,4.17,-0.9,present ,12.65,117.3,
25/10/2019,22:50:13,956.141,578.398,4.17,-1,present ,12.66,117.9,
25/10/2019,23:00:13,956.141,578.398,4.17,-1,present ,12.66,117.9,
25/10/2019,23:10:13,956.139,578.338,4.17,-1,present ,12.66,118.2,
25/10/2019,23:20:13,956.14,578.359,4.17,-1.2,present ,12.62,118.2,
25/10/2019,23:30:13,956.14,578.359,4.17,-1,present ,12.62,118.2,
25/10/2019,23:40:13,956.14,578.359,4.17,-1.2,present ,12.62,118.2,
25/10/2019,23:50:13,956.14,578.359,4.17,-1.1,present ,12.63,118.5,
26/10/2019,0:00:13,956.14,578.359,4.17,-1.1,present ,12.59,118.5,
26/10/2019,0:10:13,956.14,578.359,4.17,-1.1,present ,12.62,118.2,
26/10/2019,0:20:13,956.14,578.359,4.17,-1.1,present ,12.59,118.2,
26/10/2019,0:30:13,956.14,578.359,4.17,-1.1,present ,12.59,118.5,
26/10/2019,0:40:13,956.14,578.359,4.17,-1,present ,12.59,118.8,
26/10/2019,0:50:13,956.141,578.398,4.17,-0.8,present ,12.59,118.5,
26/10/2019,1:00:12,956.141,578.398,4.17,-0.9,present ,12.59,118.8,
26/10/2019,1:10:12,956.141,578.398,4.17,-0.9,present ,12.56,118.8,
26/10/2019,1:20:12,956.141,578.395,4.17,-1,present ,12.59,118.8,
26/10/2019,1:30:13,956.14,578.359,4.19,-1.1,present ,12.59,118.5,
26/10/2019,1:40:13,956.14,578.359,4.19,-1.2,present ,12.56,119.1,
26/10/2019,1:50:13,956.14,578.359,4.17,-1.4,present ,12.56,118.8,
26/10/2019,2:00:13,956.139,578.32,4.16,-1.6,present ,12.56,119.4,
26/10/2019,2:10:13,956.139,578.32,4.17,-1.5,present ,12.56,119.1,
26/10/2019,2:20:13,956.139,578.32,4.17,-1.6,present ,12.52,119.1,
26/10/2019,2:30:13,956.139,578.32,4.17,-1.8,present ,12.56,119.1,
26/10/2019,2:40:13,956.139,578.333,4.17,-1.8,present ,12.53,119.4,
26/10/2019,2:50:13,956.139,578.338,4.19,-1.8,present ,12.56,118.8,
26/10/2019,3:00:13,956.139,578.32,4.19,-2.2,present ,12.56,119.1,
26/10/2019,3:10:13,956.14,578.356,4.19,-2.09,present ,12.56,119.4,
26/10/2019,3:20:13,956.14,578.359,4.19,-1.7,present ,12.56,119.1,
26/10/2019,3:30:13,956.141,578.398,4.19,-1.6,present ,12.52,118.8,
26/10/2019,3:40:12,956.142,578.437,4.17,-1.5,present ,12.52,119.1,
26/10/2019,3:50:12,956.142,578.445,4.17,-1.4,present ,12.53,119.4,
26/10/2019,4:00:13,956.143,578.473,4.17,-1.3,present ,12.53,119.4,
26/10/2019,4:10:13,956.143,578.463,4.17,-1.4,present ,12.53,119.7,
26/10/2019,4:20:12,956.142,578.437,4.17,-1.4,present ,12.53,119.7,
26/10/2019,4:30:13,956.141,578.398,4.17,-1.7,present ,12.53,119.4,
26/10/2019,4:40:13,956.14,578.359,4.17,-1.8,present ,12.53,119.4,
26/10/2019,4:50:13,956.14,578.38,4.17,-1.7,present ,12.53,119.7,
26/10/2019,5:00:13,956.14,578.359,4.17,-1.8,present ,12.49,119.7,
26/10/2019,5:10:13,956.14,578.348,4.17,-2.2,present ,12.53,120,
26/10/2019,5:20:13,956.14,578.359,4.17,-2.2,present ,12.53,120,
26/10/2019,5:30:13,956.141,578.398,4.19,-2.2,present ,12.49,119.7,
26/10/2019,5:40:13,956.141,578.398,4.19,-1.9,present ,12.49,119.7,
26/10/2019,5:50:13,956.141,578.416,4.19,-1.8,present ,12.53,119.7,
26/10/2019,6:00:13,956.142,578.437,4.17,-1.6,present ,12.49,119.4,
26/10/2019,6:10:13,956.142,578.437,4.15,-1.7,present ,12.53,120,
26/10/2019,6:20:13,956.142,578.437,4.17,-1.8,present ,12.49,119.4,
26/10/2019,6:30:12,956.142,578.455,4.17,-1.7,present ,12.49,119.7,
26/10/2019,6:40:12,956.143,578.476,4.17,-1.7,present ,12.53,119.4,
26/10/2019,6:50:12,956.143,578.473,4.17,-1.7,present ,12.5,120,
26/10/2019,7:00:13,956.142,578.458,4.17,-1.6,present ,12.5,120,
26/10/2019,7:10:13,956.143,578.476,4.19,-2.3,not present ,0,0,
26/10/2019,7:20:13,956.143,578.492,4.18,-2.5,not present ,0,0,
26/10/2019,7:30:13,956.144,578.515,4.18,-2.6,not present ,0,0,
26/10/2019,7:40:13,956.144,578.523,4.18,-2.5,not present ,0,0,
26/10/2019,7:50:13,956.145,578.554,4.18,-2.2,not present ,0,0,
26/10/2019,8:00:13,956.146,578.593,4.17,-1.7,not present ,0,0,
26/10/2019,8:10:13,956.147,578.63,4.17,-1.4,not present ,0,0,
26/10/2019,8:20:13,956.147,578.643,4.17,-0.9,not present ,0,0,
26/10/2019,8:30:13,956.148,578.671,4.17,-0.8,not present ,0,0,
26/10/2019,8:40:13,956.15,578.75,4.16,-0.3,not present ,0,0,
26/10/2019,8:50:13,956.152,578.828,4.16,0,not present ,0,0,
26/10/2019,9:00:12,956.154,578.906,4.16,0,not present ,0,0,
26/10/2019,9:10:13,956.155,578.942,4.16,0.1,not present ,0,0,
26/10/2019,9:20:12,956.157,579.02,4.16,1.4,not present ,0,0,
26/10/2019,9:30:13,956.158,579.072,4.15,1.8,not present ,0,0,
26/10/2019,9:40:12,956.16,579.14,4.15,2.09,not present ,0,0,
26/10/2019,9:50:13,956.162,579.218,4.15,2.5,not present ,0,0,
26/10/2019,10:00:13,956.164,579.296,4.15,2.9,not present ,0,0,
26/10/2019,10:10:13,956.165,579.335,4.15,3.2,not present ,0,0,
26/10/2019,10:20:13,956.166,579.375,4.15,3.4,not present ,0,0,
