Serial Number:,DEN1I104,,,,,,,,
APP Serial #,4000695,,,,,,,,
APP Ver:,  R1-6-3,,,,,,,,
COM Ver:,   R2-6-1,,,,,,,,
Instrument Name:,tulipdendro                 ,,,,,,,,
Comment:,                            ,,,,,,,,
Channel,Slope,Intercept,,,,,,,
Chan1,1,0,,,,,,,
Chan2,1,0,,,,,,,
Chan3,1,0,,,,,,,
Chan4,1,0,,,,,,,
Chan5,1,0,,,,,,,
,,,,,,,,,
Date,Time,Chan1 (mm ),Chan1 (mV),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
27/05/2020,14:06:30,193.684,0,4.22,27.2,present ,14.18,35.4,
27/05/2020,14:10:13,193.683,0,4.23,27.2,present ,14.18,35.7,
27/05/2020,14:20:13,193.683,0,4.23,27.4,present ,14.17,35.09,
27/05/2020,14:30:13,193.684,0,4.22,26.7,present ,14.21,35.09,
27/05/2020,14:40:13,193.684,0,4.2,25.8,present ,14.17,34.8,
27/05/2020,14:50:13,193.683,0,4.2,26.3,present ,14.18,35.7,
27/05/2020,15:00:12,193.683,0,4.23,27.2,present ,14.17,35.09,
27/05/2020,15:10:12,193.683,0,4.23,27.6,present ,14.18,35.4,
27/05/2020,15:20:12,193.683,0,4.23,26.7,present ,14.17,34.8,
27/05/2020,15:30:12,193.683,0,4.23,25.9,present ,14.17,34.8,
27/05/2020,15:40:13,193.684,0,4.22,25.1,present ,13.96,35.4,
27/05/2020,15:50:13,193.684,0,4.22,24.5,present ,12.75,38.4,
27/05/2020,16:00:13,193.684,0,4.22,23.8,present ,12.57,39,
27/05/2020,16:10:13,193.683,-0.001,4.22,22.4,present ,12.99,37.8,
27/05/2020,16:20:13,193.683,0,4.21,21.4,present ,13.96,34.8,
27/05/2020,16:30:13,193.684,0,4.21,20.9,present ,13.54,36,
27/05/2020,16:40:13,193.684,0,4.21,20.7,present ,12.36,39.3,
27/05/2020,16:50:13,193.683,-0.001,4.2,20.4,present ,12.26,40.2,
27/05/2020,17:00:13,193.683,0,4.2,20.5,present ,12.16,40.5,
27/05/2020,17:10:13,193.683,0,4.21,20.4,present ,12.09,40.8,
27/05/2020,17:20:13,193.684,0,4.21,20.7,present ,12.05,40.5,
27/05/2020,17:30:12,193.683,0,4.21,20.8,present ,11.98,40.8,
27/05/2020,17:40:12,193.684,0,4.21,20.8,present ,11.99,41.4,
27/05/2020,17:50:13,193.684,0,4.21,20.8,present ,11.92,41.1,
27/05/2020,18:00:12,193.683,0,4.21,21,present ,11.92,41.1,
27/05/2020,18:10:13,193.684,0,4.21,20.8,present ,11.88,41.7,
27/05/2020,18:20:12,193.684,0,4.21,21,present ,11.85,41.4,
27/05/2020,18:30:13,193.683,0,4.21,21,present ,11.81,41.4,
27/05/2020,18:40:13,193.684,0,4.21,20.9,present ,11.78,41.7,
27/05/2020,18:50:13,193.683,-0.001,4.21,21.1,present ,11.78,41.7,
27/05/2020,19:00:13,193.684,0,4.21,21,present ,11.78,41.7,
27/05/2020,19:10:13,193.684,0,4.21,20.9,present ,11.78,41.7,
27/05/2020,19:20:13,193.683,0,4.21,21,present ,11.75,42,
27/05/2020,19:30:13,193.683,-0.001,4.21,20.7,present ,11.74,41.7,
27/05/2020,19:40:13,193.683,0,4.21,20.8,present ,11.71,41.7,
27/05/2020,19:50:13,193.683,-0.001,4.21,20.5,present ,11.71,41.7,
27/05/2020,20:00:13,193.684,0,4.21,20.4,present ,11.71,41.7,
27/05/2020,20:10:13,193.684,0,4.2,20.29,present ,11.67,42,
27/05/2020,20:20:13,193.683,-0.001,4.2,20,present ,11.67,41.7,
27/05/2020,20:30:12,193.684,0,4.2,19.79,present ,11.67,41.7,
27/05/2020,20:40:12,193.683,0,4.2,19.7,present ,11.67,41.7,
27/05/2020,20:50:13,193.683,0,4.19,19.2,present ,11.67,42,
27/05/2020,21:00:12,193.683,-0.001,4.19,19.1,present ,11.64,42.3,
27/05/2020,21:10:13,193.683,0,4.19,18.9,present ,11.64,41.7,
27/05/2020,21:20:13,193.683,-0.001,4.19,18.6,present ,11.64,41.7,
27/05/2020,21:30:13,193.684,0,4.18,18.29,present ,11.6,41.7,
27/05/2020,21:40:13,193.683,0,4.18,18.1,present ,11.6,41.7,
27/05/2020,21:50:13,193.683,0,4.18,18.2,present ,11.61,42.3,
27/05/2020,22:00:13,193.683,0,4.18,18.2,present ,11.6,42,
27/05/2020,22:10:13,193.684,0,4.18,18.1,present ,11.61,42.3,
27/05/2020,22:20:13,193.684,0,4.18,18.1,present ,11.6,41.7,
27/05/2020,22:30:13,193.683,0,4.18,18.29,present ,11.57,42.3,
27/05/2020,22:40:13,193.683,0,4.19,18.29,present ,11.57,42,
27/05/2020,22:50:13,193.684,0,4.19,18.5,present ,11.6,42,
27/05/2020,23:00:13,193.684,0,4.19,18.29,present ,11.57,42.6,
27/05/2020,23:10:13,193.684,0,4.19,18.5,present ,11.57,42,
27/05/2020,23:20:12,193.683,0,4.19,18.6,present ,11.57,42.6,
27/05/2020,23:30:13,193.683,0,4.19,18.5,present ,11.57,42.6,
27/05/2020,23:40:12,193.683,0,4.19,18.5,present ,11.53,42,
27/05/2020,23:50:13,193.683,0,4.19,18.2,present ,11.54,42.6,
28/05/2020,0:00:13,193.683,-0.001,4.19,18.5,present ,11.53,42,
